,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
The storytelling in this movie was emotionally powerful.,1.0,0.4978378915430955,0.4931005754186696,0.5181384126434883,0.4682839003985559,0.4625821532058068,0.4542841211538396,0.426175110526031,0.45636714618653285,0.4356823241266567,0.7721061526389467,0.585672473985807
The story made me feel strong emotions.,0.4978378915430955,1.0,0.4824215003661442,0.5057594809236755,0.48005462973658314,0.4606977811989353,0.43138604868188113,0.42044468725616346,0.4494520716774053,0.4381298884718003,0.7737732053641203,0.5765621810579322
The emotional moments felt genuine and realistic.,0.4931005754186696,0.4824215003661442,1.0,0.4779538230541507,0.44827456142745875,0.42005186914873527,0.4306322052990196,0.4272168610412652,0.4317409023277682,0.4142293809819967,0.7588928744773119,0.5567361021024144
The characters' emotional experiences were clearly expressed.,0.5181384126434883,0.5057594809236755,0.4779538230541507,1.0,0.4602360556607768,0.44307856029936027,0.44790161899292164,0.422598021024741,0.44042306776622264,0.42850681508523336,0.7726504027284864,0.5719391699276238
The story focused strongly on characters' feelings and relationships.,0.4682839003985559,0.48005462973658314,0.44827456142745875,0.4602360556607768,1.0,0.43358467395379835,0.41880143273169745,0.4206704803643015,0.4366456897359703,0.4199420077392296,0.7517218226282986,0.5582180022709016
I feel attached to the characters in this movie.,0.4625821532058068,0.4606977811989353,0.42005186914873527,0.44307856029936027,0.43358467395379835,1.0,0.4880588266806998,0.469772669815309,0.4962747483010808,0.4733420905193292,0.5795144110035817,0.7667967419017623
I still think about this movie or its characters after watching it.,0.4542841211538396,0.43138604868188113,0.4306322052990196,0.44790161899292164,0.41880143273169745,0.4880588266806998,1.0,0.47125491237976286,0.48964714916725727,0.4687743987622852,0.5698560496091699,0.7625254374826148
I would like to watch this movie again in the future.,0.426175110526031,0.42044468725616346,0.4272168610412652,0.422598021024741,0.4206704803643015,0.469772669815309,0.47125491237976286,1.0,0.4823697189859357,0.46480151453562846,0.5529881494225479,0.7614374960685217
I would recommend this movie to others.,0.45636714618653285,0.4494520716774053,0.4317409023277682,0.44042306776622264,0.4366456897359703,0.4962747483010808,0.48964714916725727,0.4823697189859357,1.0,0.47293432606657804,0.5782608697292503,0.7701616026262997
This movie has a special place in my memory compared to other movies.,0.4356823241266567,0.4381298884718003,0.4142293809819967,0.42850681508523336,0.4199420077392296,0.4733420905193292,0.4687743987622852,0.46480151453562846,0.47293432606657804,1.0,0.5578767944755197,0.7540163915190581
Emotional Storytelling Score,0.7721061526389467,0.7737732053641203,0.7588928744773119,0.7726504027284864,0.7517218226282986,0.5795144110035817,0.5698560496091699,0.5529881494225479,0.5782608697292503,0.5578767944755197,1.0,0.7439147030715533
Audience Attachment Score,0.585672473985807,0.5765621810579322,0.5567361021024144,0.5719391699276238,0.5582180022709016,0.7667967419017623,0.7625254374826148,0.7614374960685217,0.7701616026262997,0.7540163915190581,0.7439147030715533,1.0
